X	Y	Z
19487.713	10722.126	16.997
19553.182	6887.313	18.141
19850.834	26288.203	58.974
19915.943	11638.479	-26.326
19975.311	19537.258	-4.82
20069.662	7207.24	11.438
21109.234	8344.606	255.8
21470.385	14920.751	59.503
21974.496	27835.859	-20.962
22138.424	10746.461	43.649
23973.189	19079	11.917
23822.422	24041.734	226.218
25158.223	23848.688	39.986
25755.98	20382.637	190.969
25857.471	25180.459	-28.388
26280.582	21773.447	-14.344
26337.943	18147.422	120.025
27780.785	17357.773	250.991
4112.261	11236.36	38.038
6163.861	13837.973	67.827
6615.968	11055.997	102.852
6755.602	14554.44	74.402
7351.783	11376.092	115.457
7310.333	16022.635	48.435
7434.633	18146.115	-15.531
8388.402	6586.477	118.162
8260.068	18897.125	321.379
8309.07	22044.148	43.268
8656.013	2259.756	-3.547
9160.671	1869.144	-32.82
9143.353	20179.133	131.802
9936.531	21623.727	8.191
9984.461	16523.812	111.995
10244.865	24451.32	-39.835
10471.604	18106.789	84.396
10776.194	2773.378	408.174
11673.303	3964.82	83.491
12142.709	24357.504	107.331
12740.533	13256.084	123.63
12916.223	2934.664	81.919
14270.485	9911.656	101.969
14163.781	27410.195	262.508
14390.037	3482.225	111.384
14932.177	7109.521	-4.033
14972.452	5519.587	170.595
15810.156	26280.463	20.802
16651.166	6916.43	86.47
17590.789	8888.099	77.467
18328.646	10267.032	110.555
18503.744	18039.688	-22.723
18944.305	23782.111	-13.734
19603.568	22734.375	-19.698
20494.455	7866.286	94.876
21127.408	8306.354	134.775
21479.844	14907.726	87.89
21594.381	20180.27	130.671
21543.195	22156.65	-7.397
21606.064	26397.576	41.239
22109.18	17100.311	71.431
21989.828	27838.338	41.008
22129.664	10745.649	129.655
23165.406	17062.781	21.672
24786.438	11235.937	34.12
24892.18	13303.789	4.428
25434.289	12441.571	90.396
4204.283	11004.476	83.168
8262.909	18896.793	175.099
8786.098	15219.349	50.189
9503.968	22414.383	13.142
10358.922	8419.138	225.988
10471.908	18115.234	89.481
10718.143	20737.164	147.104
11232.88	5103.819	17.707
11770.245	20420.418	255.152
12205.824	16986.443	114.459
14020.577	5642.482	76.231
14178.21	24232.408	14.288
14334.023	11044.371	107.889
14610.272	27562.135	57.009
14869.106	17754.504	32.789
15027.461	19093.195	42.247
15298.232	8816.143	89.07
15483.966	24956.199	35.807
15753.188	21383.289	27.811
15922.541	6373.499	-40.858
15920.069	26185.211	29.909
16717.137	4780.32	32.358
17238.916	9655.78	4.22
17385.77	27275.385	161.546
17984.189	16534.215	-12.687
18573.561	11342.543	-2.425
18794.545	17302.281	130.987
18807.617	22147.758	-41.853
19231.475	6609.135	44.895
19634.83	25848.32	141.628
20501.115	7762.757	222.621
20605.402	25246.99	154.251
21607.643	15197.282	134.421
22025.49	16977.062	90.988
21985.832	27837.049	49.141
22616.467	9922.893	244.305
24197.912	26039.668	47.627
24392.932	23739.238	115.267
24584.76	19349.016	158.061
24675.727	21286.029	34.549
24784.615	11241.481	64.682
25489.174	21138.031	27.434
27567.639	17195.703	91.811
4204.687	11031.469	100.211
4359.112	16789.217	-1.131
7215.29	20609.748	300.131
7962.911	5344.076	94.58
7964.28	19612.465	-19.449
8280.333	13896.121	-37.087
8879.261	1104.726	62.717
10523.479	26855.18	17.327
11851.457	16992.148	48.342
12575.063	4583.281	55.684
12788.062	21210.842	84.034
12911.725	17104.885	72.324
13428.715	3060.175	88.349
13862.829	16054.738	138.105
14013.768	5641.61	37.489
14176.935	24243.139	96.769
14604.795	27561.143	86.45
15719.57	21322.391	-1.135
15630.133	22620.166	68.964
15906.181	26225.926	5.838
15956.149	7916.239	-20.453
16321.718	6763.908	234.953
17004.439	8323.894	22.842
17382.918	27301.057	229.49
17631.865	16613.928	-9.126
17832.156	25825.203	12.829
18242.5	26893.246	-16.413
18592.963	6808.113	34.236
18718.873	26405.654	61.884
19029.352	22103.176	-3.427
19784.375	10053.123	116.82
19987.057	16965.623	123.462
20417.566	13728.898	144.932
21507.543	14900.767	149.145
21782.135	18520.107	45.753
21987.463	27817.871	112.042
23106.902	1031.241	37.274
23468.258	14228.825	236.92
25415.965	25083.422	115.328
27876.113	18549.283	94.664
28613.059	19413.551	18.794
3212.079	10331.347	-7.505
6037.703	18755.279	20.808
6597.014	3874.126	29.386
6980.998	19466.426	4.934
7318.055	3619.15	-11.665
7221.864	20632.109	381.14
7956.74	19617.984	9.087
8882.504	1116.189	21.475
8928.675	3934.736	117.983
10013.85	9606.321	-6.927
9973.588	15243.914	-6.895
10706.029	20729.986	-16.978
11197.349	24639.621	24.125
12058.305	7048.749	-1.194
12504.346	25827.891	20.529
12669.419	8899.996	45.802
12800.623	21208.305	91.673
14772.576	4703.322	31.739
14627.375	27553.189	102.153
15037.56	5446.139	158.514
16327.9	6766.388	102.58
16602.926	15827.058	-1.157
17350.523	27233.814	240.907
17685.082	25739.662	62.855
17919.201	7301.909	45.63
18206.986	26901.605	76.566
18853.641	15235.08	8.624
19384.824	13648.622	66.749
19613.543	19239.73	12.919
19925.467	11629.154	88.748
20010.162	16971.982	93.299
20515.027	23478.289	109.829
21012.342	26684.738	-4.077
21796.65	18512.949	27.551
21999.344	27825.043	28.261
22610.861	9894.117	274.815
22805.629	25180.221	20.74
22799.443	24405.857	105.503
23411.252	13215.076	49.851
23578.326	14360.295	126.334
23718.301	17476.125	38.84
23706.986	26193.463	83.51
25117.047	19637.549	53.797
25935.887	13522.163	151.485
26293.859	15059.84	141.734
26760.012	21968.186	30.409
3216.765	10331.243	173.615
6024.092	4440.333	31.755
6507.344	3326.595	85.229
6994.921	8535.919	-36.272
7292.861	3647.256	31.359
7956.248	19619.76	25.987
8147.161	5206.807	289.256
8388.711	6692.133	637.001
8991.926	3420.917	87.371
9969.674	15234.928	29.348
10166.607	7328.873	133.246
10539.931	13015.074	38.07
10560.047	25667.895	-2.809
10691.836	20732.428	249.732
12056.446	11352.818	58.92
12293.013	19320.967	81.899
12569.436	4422.135	39.903
12714.871	8493.368	10.743
12806.065	23033.102	83.967
13124.515	9412.218	-17.495
14022.104	9772.637	4.121
14250.437	7946.48	109.182
14911.67	25380.188	-41.174
15009.718	15502.638	-5.038
16164.879	18221.676	154.874
16401.973	27187.969	-20.074
17950.287	16507.547	-9.259
18213.141	14541.801	49.628
18299.615	25737.398	16.757
18870.359	19280.787	74.939
19013.711	19911.355	43.245
19419.354	17308.912	37.561
19621.549	13734.424	62.342
19833.586	10126.919	71.472
20211.279	8403.516	56.196
21338.926	6971.568	51.4
21797.621	9310.774	66.773
22532.148	17260.42	66.228
22364.26	22418.959	-14.067
22604.824	9929.578	410.288
23722.807	17471.342	22.942
24893.16	25652.096	56.597
